VisitorId,Time spent (minutes),Money spent (euros),Day
1260,26,38.8,2
592,14,38.8,5
1329,50,16.4,5
538,26,10.8,3
237,62,22,2
630,26,33.2,1
630,62,22,5
320,86,27.6,1
1519,50,33.2,4
970,98,38.8,7
630,110,27.6,7
246,86,33.2,2
837,62,27.6,6
246,62,10.8,6
1207,62,27.6,3
1382,,27.6,1
723,50,33.2,3
208,26,38.8,4
1114,38,38.8,5
918,50,27.6,4
320,62,27.6,2
237,62,38.8,3
237,26,33.2,1
1207,26,38.8,7
320,74,38.8,3
1282,74,27.6,4
364,26,33.2,5
1387,62,27.6,2
888,26,38.8,2
1260,26,27.6,5
1278,26,50,5
208,98,16.4,4
1446,50,38.8,3
1207,98,16.4,6
59,38,22,2
918,110,44.4,5
1410,26,16.4,6
1260,50,33.2,1
208,86,44.4,4
810,110,22,1
682,26,27.6,5
246,26,44.4,5
1207,26,22,6
1382,74,27.6,1
1446,98,22,3
630,26,33.2,1
1387,62,22,6
237,50,44.4,4
1278,98,22,4
682,98,38.8,5
682,86,50,7
237,122,38.8,3
208,110,16.4,5
1109,38,44.4,1
1373,38,27.6,6
1214,38,50,4
208,62,22,4
237,26,44.4,5
1207,50,33.2,4
237,62,22,
1114,38,10.8,5
1004,38,33.2,6
810,98,38.8,1
918,62,38.8,2
971,,27.6,4
208,86,27.6,6
888,110,27.6,6
1382,74,38.8,5
364,38,27.6,7
1114,62,27.6,4
1446,86,44.4,2
320,98,16.4,5
810,50,50,3
1207,50,22,7
804,86,38.8,4
534,26,22,5
810,26,38.8,4
592,26,27.6,6
364,50,38.8,7
59,110,16.4,3
1410,110,22,2
208,62,22,4
199,14,38.8,6
59,122,38.8,3
630,38,33.2,7
1282,62,44.4,7
1519,26,38.8,6
246,86,27.6,6
804,86,33.2,7
837,98,44.4,6
68,74,22,6
480,38,22,7
630,38,27.6,4
208,98,22,6
208,110,16.4,6
1207,26,38.8,6
888,74,27.6,4
319,110,44.4,1
1109,26,27.6,6
199,62,22,5
1446,50,50,4
888,26,33.2,4
1051,14,50,2
1278,38,22,2
208,98,27.6,1
1051,86,22,2
237,38,27.6,1
723,26,33.2,6
1233,86,16.4,2
237,86,33.2,1
918,50,22,6
723,62,38.8,6
1329,86,38.8,5
837,14,27.6,6
246,86,27.6,5
1233,50,16.4,6
918,50,44.4,7
538,98,27.6,5
237,50,33.2,3
1114,50,27.6,3
888,26,44.4,5
970,38,33.2,7
723,62,33.2,5
319,26,27.6,5
208,98,22,4
1382,14,22,4
429,26,27.6,4
59,14,22,2
1446,38,38.8,5
888,14,33.2,6
1410,62,33.2,7
246,26,38.8,6
246,74,44.4,1
246,98,38.8,3
208,110,38.8,6
1282,98,44.4,3
237,110,22,6
1410,62,44.4,4
1004,62,44.4,5
208,38,44.4,7
1207,38,16.4,7
538,26,33.2,6
804,,33.2,7
630,86,22,1
480,26,16.4,2
888,50,16.4,3
1410,26,27.6,5
837,,27.6,2
208,74,22,6
918,110,38.8,4
918,62,22,4
1207,26,33.2,6
319,14,27.6,6
888,38,22,5
320,74,33.2,6
320,38,38.8,1
1452,110,27.6,2
918,38,44.4,2
1446,26,22,4
1282,26,16.4,3
246,50,44.4,2
630,50,50,5
237,38,50,2
538,110,44.4,2
918,62,38.8,6
59,122,33.2,6
1410,26,33.2,6
68,86,38.8,4
630,14,38.8,4
237,26,38.8,6
320,110,27.6,1
791,38,38.8,6
888,110,38.8,2
971,38,33.2,4
1519,38,50,4
918,14,38.8,6
1114,50,22,5
791,86,27.6,2
1519,98,50,5
630,26,44.4,5
59,50,38.8,2
237,26,22,3
246,26,33.2,7
208,38,38.8,6
1282,14,16.4,6
364,14,22,6
538,,38.8,4
1382,98,27.6,7
319,38,22,4
1382,62,33.2,2
237,86,33.2,6
1245,50,38.8,5
1282,26,50,7
837,110,50,4
237,62,44.4,7
364,38,44.4,3
1207,26,44.4,6
320,,27.6,4
1446,62,22,3
364,122,44.4,4
208,26,38.8,6
1446,50,33.2,3
1260,122,44.4,1
1195,38,38.8,2
320,50,38.8,6
1387,50,44.4,5
1382,86,22,4
320,74,38.8,5
1410,38,27.6,6
630,38,22,3
682,98,38.8,3
1519,50,22,5
1329,62,16.4,4
237,62,44.4,4
237,38,27.6,2
59,50,38.8,4
319,110,38.8,3
237,50,50,3
791,26,50,1
319,74,33.2,3
1329,,16.4,5
208,62,50,6
1282,74,50,4
59,26,44.4,2
837,110,22,6
364,38,33.2,2
246,38,27.6,6
246,50,38.8,3
888,14,16.4,7
888,110,50,1
538,86,16.4,6
1207,26,38.8,2
1245,26,44.4,1
68,110,33.2,7
682,110,27.6,7
682,62,22,1
888,98,33.2,4
630,26,38.8,6
918,,38.8,4
320,74,16.4,3
1051,110,38.8,5
649,98,22,
1051,74,27.6,5
208,62,44.4,2
837,26,38.8,3
888,62,22,2
970,38,22,1
970,110,27.6,6
1282,26,27.6,7
837,62,44.4,7
1519,62,33.2,7
1114,26,16.4,5
320,38,22,3
319,26,33.2,6
917,110,38.8,4
237,62,33.2,2
246,38,22,4
804,110,44.4,2
320,86,33.2,6
1446,98,33.2,1
917,50,44.4,3
1446,38,22,7
364,14,33.2,5
364,74,33.2,5
630,62,16.4,7
918,98,38.8,3
208,86,50,4
480,74,27.6,6
237,74,38.8,4
429,38,22,5
1109,62,33.2,4
1109,50,27.6,7
199,50,16.4,3
1446,38,33.2,6
1109,26,27.6,4
52,26,33.2,4
1410,110,22,1
68,38,44.4,3
429,38,22,7
917,38,33.2,7
1109,26,27.6,6
59,38,44.4,3
1387,26,38.8,7
1503,50,33.2,5
837,74,33.2,6
237,26,22,6
1519,74,38.8,6
1382,62,50,1
1387,,33.2,3
970,38,38.8,6
837,98,22,4
971,62,50,5
480,86,38.8,3
320,50,50,6
208,98,22,5
199,98,33.2,2
59,62,38.8,4
1109,26,50,2
208,50,38.8,3
888,38,27.6,5
1382,62,44.4,3
320,98,27.6,7
1382,26,27.6,7
970,98,33.2,3
1329,62,44.4,1
237,26,38.8,6
1195,14,27.6,1
1207,62,33.2,5
237,38,27.6,3
534,50,38.8,4
1051,86,44.4,1
1382,38,16.4,5
208,26,22,2
1207,62,27.6,3
320,14,38.8,2
1452,,33.2,5
918,62,33.2,3
1207,110,44.4,7
59,74,38.8,5
208,26,22,2
1519,50,33.2,7
320,62,16.4,7
1452,38,38.8,7
1446,62,22,3
837,98,22,7
804,86,38.8,7
1387,74,22,3
208,110,44.4,6
538,50,33.2,7
917,74,22,2
237,26,38.8,5
1114,74,16.4,2
320,38,27.6,4
538,26,33.2,7
1519,62,38.8,3
199,86,33.2,1
52,38,33.2,1
237,26,22,4
1387,74,44.4,3
917,26,33.2,7
1109,62,33.2,5
1109,98,33.2,3
630,62,38.8,4
429,38,27.6,6
1452,50,16.4,1
1109,62,27.6,2
237,26,33.2,2
810,38,33.2,4
59,,33.2,7
888,62,22,4
837,50,38.8,5
918,62,10.8,1
1260,74,33.2,6
1207,38,16.4,1
1207,74,33.2,5
804,50,38.8,5
837,74,22,7
364,86,38.8,1
1373,26,27.6,7
1446,98,33.2,5
723,26,22,3
918,62,38.8,6
1207,62,27.6,5
237,86,27.6,3
320,38,44.4,5
918,26,27.6,3
429,62,44.4,5
1329,50,27.6,3
630,98,27.6,6
538,98,16.4,3
199,26,27.6,4
1410,86,38.8,3
630,14,22,6
592,50,22,3
429,86,27.6,2
888,14,10.8,2
888,38,44.4,1
630,26,38.8,1
1282,50,38.8,6
199,110,38.8,5
888,38,27.6,4
1387,62,16.4,6
918,62,44.4,5
1410,38,33.2,1
1446,50,33.2,7
1260,26,16.4,1
592,14,22,1
1446,50,44.4,7
1387,38,22,5
1109,38,38.8,2
488,38,38.8,3
1207,98,38.8,1
320,,27.6,5
1207,50,33.2,2
1410,62,38.8,5
888,26,27.6,3
970,62,16.4,1
208,86,27.6,5
320,26,22,2
888,26,27.6,6
970,74,27.6,7
319,62,22,4
1410,38,33.2,7
630,74,38.8,4
1519,26,44.4,5
59,,38.8,4
59,26,22,2
1109,74,10.8,1
68,74,27.6,4
917,86,38.8,5
1410,62,33.2,3
237,26,44.4,4
208,122,38.8,7
208,50,44.4,3
1109,62,27.6,4
246,122,22,4
723,50,38.8,6
1207,26,33.2,3
208,98,44.4,4
804,38,33.2,7
246,26,16.4,4
1329,98,22,2
1233,98,22,2
208,86,27.6,1
682,38,22,4
1329,50,44.4,1
1519,50,27.6,4
837,62,38.8,6
1373,38,16.4,2
319,38,22,5
918,122,22,5
1051,26,22,1
630,62,22,3
918,110,44.4,1
319,50,44.4,2
208,26,16.4,7
630,38,33.2,7
630,74,50,3
1410,26,38.8,6
237,38,16.4,1
1109,86,22,6
429,50,27.6,5
1207,38,22,6
364,122,33.2,5
429,,22,3
208,26,27.6,4
246,86,38.8,2
208,38,38.8,2
1282,74,22,1
649,122,27.6,4
804,14,38.8,5
1260,38,38.8,7
429,110,33.2,3
1004,14,22,1
246,110,38.8,6
1109,38,38.8,6
649,26,50,6
1382,86,27.6,5
1373,26,16.4,4
237,86,10.8,1
1207,62,27.6,1
246,98,27.6,2
592,110,38.8,3
1109,38,33.2,6
246,50,33.2,6
592,38,22,1
649,38,33.2,4
918,50,50,1
59,38,27.6,3
918,50,22,3
237,26,38.8,3
208,14,27.6,4
534,38,33.2,6
1195,38,16.4,5
237,62,10.8,3
888,50,38.8,3
888,26,38.8,7
630,62,50,5
1109,110,33.2,4
488,38,38.8,7
1446,122,22,7
1233,38,44.4,2
791,62,38.8,4
52,86,38.8,5
429,26,50,2
1278,98,16.4,7
208,50,27.6,4
1387,50,38.8,6
1382,110,44.4,2
319,26,22,3
1382,50,16.4,3
60,38,16.4,7
1387,,27.6,1
320,14,27.6,3
723,98,16.4,3
723,62,38.8,3
1278,26,33.2,6
208,14,27.6,3
1387,38,22,4
538,50,16.4,7
1329,50,38.8,4
320,62,22,7
199,62,38.8,1
208,98,22,5
918,50,33.2,2
1109,26,22,1
682,14,22,6
1260,50,22,6
52,26,27.6,5
1278,50,22,1
837,50,50,5
68,86,27.6,4
246,74,27.6,2
1207,74,38.8,6
917,50,38.8,6
791,50,44.4,6
538,62,16.4,7
364,86,22,7
319,14,22,1
1051,62,38.8,4
1207,86,44.4,6
630,98,44.4,2
1207,38,38.8,6
682,86,38.8,6
1382,50,22,5
208,74,38.8,4
1519,26,33.2,7
199,50,27.6,2
1233,26,38.8,1
804,110,16.4,4
237,50,33.2,1
918,62,27.6,1
1382,26,16.4,4
813,62,44.4,6
1109,62,38.8,5
723,74,16.4,4
1410,38,22,5
208,98,38.8,7
1195,62,33.2,7
1446,26,22,4
538,62,27.6,7
1329,86,27.6,6
1207,50,22,6
208,62,16.4,2
1387,38,33.2,4
59,26,38.8,4
534,110,22,6
199,86,22,6
534,50,27.6,7
804,98,22,7
1446,110,38.8,7
1387,38,50,7
837,110,27.6,7
1282,38,27.6,3
246,50,50,1
1278,62,27.6,1
1260,86,27.6,2
918,26,27.6,1
1260,50,22,5
1278,38,50,2
429,14,33.2,4
1410,26,44.4,5
917,50,22,4
1410,38,27.6,5
1373,26,44.4,3
1282,26,16.4,3
1051,110,50,6
246,38,38.8,4
630,14,33.2,1
1387,74,16.4,5
237,98,44.4,5
630,38,22,2
810,38,33.2,1
791,62,22,3
918,,16.4,3
682,38,50,1
1452,74,27.6,5
592,14,27.6,3
1207,14,22,5
1373,14,27.6,2
1387,62,38.8,4
208,50,22,7
1207,38,33.2,4
918,38,33.2,5
237,110,22,6
1519,26,27.6,4
59,86,38.8,3
1233,38,44.4,3
1282,26,44.4,6
918,50,27.6,1
888,26,22,1
246,62,22,3
592,62,22,5
804,50,27.6,3
237,26,38.8,7
1329,62,27.6,4
1452,38,44.4,3
320,74,33.2,2
888,86,38.8,6
837,26,27.6,6
723,74,22,5
810,38,38.8,3
1410,50,50,7
1245,50,33.2,4
1382,50,38.8,2
918,86,33.2,2
682,74,38.8,5
804,26,27.6,2
970,38,27.6,4
246,122,27.6,6
237,86,38.8,6
918,62,44.4,5
538,38,27.6,4
208,,38.8,3
1207,74,27.6,5
319,110,27.6,6
1446,38,16.4,2
888,14,16.4,6
1387,86,38.8,6
208,62,22,2
630,62,44.4,4
208,110,22,6
1446,38,16.4,6
1207,50,16.4,5
1109,74,22,4
1051,26,22,5
538,62,16.4,7
1004,38,44.4,6
237,38,27.6,7
630,26,27.6,5
971,26,22,1
804,,38.8,5
971,62,33.2,3
237,62,22,3
246,62,27.6,2
1207,86,27.6,7
1109,26,38.8,5
320,62,38.8,4
1373,14,33.2,2
1387,74,38.8,5
970,26,22,7
630,14,44.4,6
68,98,33.2,7
813,38,38.8,4
246,110,33.2,4
837,26,44.4,7
682,50,27.6,4
1519,26,44.4,3
60,38,27.6,2
1109,62,27.6,6
208,74,27.6,7
208,50,10.8,6
1329,110,22,7
1387,62,16.4,6
682,50,16.4,3
918,110,22,5
208,26,44.4,7
837,74,33.2,1
237,50,38.8,4
1519,38,38.8,7
237,26,38.8,4
1207,62,27.6,2
630,74,38.8,3
918,50,38.8,7
534,38,16.4,6
1387,74,22,2
1109,74,33.2,3
1446,38,38.8,5
1282,98,50,7
237,38,22,5
1109,38,27.6,1
237,62,16.4,6
918,110,38.8,7
1109,50,38.8,6
1519,74,27.6,3
837,38,16.4,5
804,86,44.4,1
970,26,27.6,4
1245,50,27.6,7
320,14,22,6
1329,50,27.6,7
971,62,38.8,4
59,,33.2,7
1051,14,16.4,5
1051,38,22,3
888,14,33.2,1
971,62,38.8,7
804,38,38.8,7
888,62,22,2
888,38,27.6,1
1382,38,44.4,1
1452,26,16.4,5
59,74,16.4,4
918,86,38.8,6
59,62,44.4,7
837,26,27.6,5
918,62,38.8,5
1382,26,33.2,2
246,50,38.8,3
1260,62,44.4,7
1520,50,27.6,6
1410,26,33.2,6
888,62,22,6
918,26,38.8,7
1260,74,38.8,5
1446,86,33.2,6
59,62,22,5
429,26,44.4,7
208,62,33.2,1
804,62,38.8,5
1109,50,27.6,5
320,14,22,7
813,,38.8,3
1382,38,16.4,5
1452,86,16.4,6
1233,50,22,1
810,38,44.4,6
208,74,38.8,7
630,38,50,6
1519,,22,7
208,38,27.6,5
918,62,50,5
1410,62,33.2,7
364,74,22,1
1452,26,27.6,7
429,62,44.4,6
837,86,16.4,4
630,,27.6,6
1278,62,22,7
319,26,50,6
1387,86,27.6,4
208,38,22,2
1109,38,22,2
888,38,38.8,5
208,74,22,7
1109,62,16.4,4
1382,86,16.4,3
1207,,27.6,7
208,98,16.4,1
804,50,33.2,4
246,62,44.4,4
1410,110,10.8,2
1387,50,22,4
1109,38,33.2,1
1452,86,22,1
208,38,44.4,7
429,50,33.2,6
813,50,27.6,3
199,14,22,1
534,14,16.4,2
52,26,22,5
320,74,44.4,7
237,86,27.6,5
1282,110,27.6,3
59,74,33.2,7
630,38,38.8,5
237,62,16.4,5
837,,27.6,1
237,38,10.8,2
319,38,33.2,5
1207,38,22,3
59,62,38.8,7
888,74,22,5
888,14,38.8,3
320,50,33.2,6
208,38,38.8,7
208,62,44.4,3
158,26,38.8,6
682,50,38.8,4
970,110,10.8,6
1410,14,33.2,2
246,38,27.6,7
1329,38,22,7
918,50,33.2,1
52,50,22,4
237,62,33.2,3
837,110,22,7
199,50,10.8,5
320,,38.8,3
1446,86,33.2,3
1446,50,38.8,7
320,98,50,4
320,26,22,6
1519,50,33.2,6
199,26,33.2,6
208,14,27.6,6
791,86,38.8,7
918,110,27.6,6
1452,38,22,7
1410,62,16.4,3
246,62,16.4,6
237,,27.6,5
320,86,16.4,2
237,98,38.8,6
1373,26,22,4
888,14,50,5
59,86,10.8,4
429,38,22,1
1207,38,44.4,4
888,62,44.4,4
630,26,22,4
1329,38,38.8,4
1282,26,33.2,4
837,62,27.6,6
1446,62,33.2,4
1207,74,27.6,7
1446,74,10.8,1
208,38,38.8,6
1207,38,27.6,1
319,50,22,5
837,62,27.6,7
1207,98,38.8,1
320,50,33.2,6
1282,26,44.4,2
1114,38,27.6,6
237,86,22,1
1207,98,33.2,3
1382,14,27.6,4
1282,38,50,7
630,50,27.6,5
1519,38,27.6,2
199,86,38.8,5
538,50,27.6,1
1114,62,27.6,3
59,98,33.2,7
970,98,22,5
237,14,38.8,4
971,98,22,1
208,38,27.6,7
837,50,38.8,3
1195,74,38.8,7
1282,50,10.8,5
429,26,33.2,5
917,74,38.8,3
1207,26,38.8,6
1452,38,38.8,3
1452,62,38.8,2
429,50,27.6,2
813,50,38.8,5
59,110,38.8,6
320,38,27.6,3
1382,26,33.2,5
791,14,44.4,3
364,26,44.4,5
1387,62,33.2,7
1207,38,38.8,6
1282,26,44.4,5
320,62,22,1
1109,98,44.4,6
429,,27.6,6
237,86,22,6
630,110,27.6,1
837,50,27.6,1
208,50,22,5
1282,26,22,1
837,62,22,5
630,38,16.4,7
1387,26,38.8,2
246,86,44.4,7
429,74,38.8,6
918,26,38.8,2
1051,74,38.8,4
1233,26,27.6,6
970,38,33.2,7
246,38,38.8,7
917,62,16.4,6
208,110,27.6,2
1233,14,44.4,4
971,38,33.2,4
1382,14,27.6,6
917,38,16.4,1
59,62,33.2,1
1503,38,50,5
237,26,22,7
1329,86,27.6,6
837,26,44.4,6
208,38,33.2,4
837,98,27.6,3
208,50,44.4,7
480,26,33.2,1
59,50,22,2
237,86,33.2,4
888,50,27.6,6
1278,26,27.6,2
59,26,38.8,6
1387,26,22,4
319,38,22,7
810,86,38.8,4
1446,50,16.4,2
1382,86,33.2,7
538,62,33.2,6
319,,38.8,6
837,50,22,7
1329,98,33.2,7
208,38,38.8,
1245,26,38.8,7
1109,50,27.6,6
1282,38,16.4,7
630,14,22,7
1282,62,33.2,2
837,86,27.6,4
1329,38,27.6,4
1452,62,44.4,3
1109,110,27.6,4
918,98,44.4,6
917,50,38.8,7
237,26,33.2,2
429,74,22,5
237,74,16.4,3
59,50,16.4,1
1282,14,33.2,2
480,50,27.6,1
199,14,38.8,7
1282,26,27.6,3
208,38,33.2,4
429,26,22,1
319,50,38.8,2
1278,98,44.4,5
320,26,33.2,7
837,14,33.2,2
1446,38,33.2,7
538,110,27.6,1
1410,74,38.8,3
918,62,33.2,6
970,38,38.8,4
237,62,50,7
1109,50,44.4,3
1109,62,16.4,3
1446,62,50,7
630,86,22,7
1519,38,38.8,5
208,14,22,4
208,14,38.8,2
237,62,16.4,5
1109,26,27.6,4
1114,74,38.8,6
1245,50,27.6,6
630,86,44.4,3
246,50,22,4
917,122,33.2,2
246,38,22,4
1109,50,33.2,3
364,50,27.6,3
837,62,44.4,6
208,74,44.4,2
791,62,27.6,3
1519,26,27.6,6
364,50,33.2,5
237,62,27.6,4
1114,26,50,5
68,14,38.8,3
237,26,22,2
1207,98,22,3
1282,38,22,7
1329,98,22,5
1260,62,44.4,4
320,14,38.8,5
237,110,27.6,3
246,62,33.2,5
917,98,16.4,2
480,38,33.2,6
59,,38.8,5
888,74,27.6,1
918,26,38.8,5
1114,38,50,3
320,38,38.8,7
1410,38,10.8,6
1410,98,27.6,6
813,62,27.6,6
246,110,22,5
837,86,44.4,4
1519,14,27.6,4
1260,26,38.8,5
592,62,33.2,4
804,122,16.4,7
1278,38,22,7
1410,62,38.8,7
1260,62,27.6,4
1519,14,38.8,6
68,50,22,7
1282,50,38.8,7
1109,110,50,5
1114,50,33.2,7
319,122,33.2,5
1109,110,33.2,4
630,62,27.6,4
1452,38,33.2,6
791,50,22,1
237,86,38.8,5
246,110,44.4,4
208,74,27.6,5
237,50,27.6,6
208,86,38.8,7
1207,26,27.6,1
237,98,38.8,6
59,38,22,4
1382,86,38.8,6
888,62,38.8,4
917,38,33.2,5
52,50,16.4,1
1329,74,38.8,7
320,50,38.8,1
1382,62,33.2,2
208,38,44.4,4
682,110,44.4,5
199,98,27.6,5
837,86,44.4,6
970,62,27.6,1
1446,38,44.4,5
592,50,44.4,3
917,26,44.4,6
917,50,44.4,3
888,38,22,4
246,26,16.4,5
1520,26,27.6,3
723,26,38.8,5
1245,38,22,7
888,14,27.6,7
1260,110,33.2,6
1233,86,16.4,3
208,98,22,3
1282,62,33.2,4
1519,110,27.6,3
837,38,22,1
208,86,44.4,6
68,38,33.2,5
971,74,27.6,2
237,50,38.8,6
237,74,38.8,4
208,26,27.6,3
364,62,44.4,4
918,26,22,6
320,110,44.4,1
1109,110,44.4,5
970,50,27.6,5
1520,38,27.6,5
837,50,33.2,4
319,62,22,4
888,86,22,5
246,38,27.6,2
917,98,22,6
237,26,38.8,4
319,122,27.6,2
1282,50,27.6,3
888,62,22,3
630,14,33.2,5
52,38,22,5
1207,98,33.2,6
1382,38,22,3
1382,122,33.2,7
1207,86,44.4,4
246,26,38.8,3
970,26,38.8,2
837,122,27.6,5
888,26,10.8,1
971,26,22,5
1207,14,38.8,2
804,98,38.8,3
319,74,33.2,4
320,62,22,3
199,50,38.8,7
1207,74,22,2
971,98,16.4,3
1446,38,33.2,4
237,50,50,5
1410,110,33.2,5
246,110,16.4,4
1452,26,38.8,6
208,50,33.2,1
429,14,33.2,6
59,50,22,5
1387,,33.2,6
837,50,27.6,7
320,26,27.6,3
